CC,5,1,10
Mean,2564.31,5165.27,2232.55
Median,2550,5229,2116
Minimum,1395,2086,1238
Maximum,4102,10096,3774
Volatility,716.852,1684.31,626.383
Skewness,0.0692095,-0.135054,0.205059
Kurtosis,2.08363,2.41656,2.15812
AC1,0.768628,0.806482,0.802389
BB-,5,1,10
Mean,124.553,28.1538,179.677
Median,120,28,172
Minimum,85,9,142
Maximum,172,52,229
Volatility,23.4289,10.4274,21.2314
Skewness,0.19633,0.0996747,0.363525
Kurtosis,1.82056,1.87131,2.15743
AC1,0.850345,0.886259,0.903357
B,5,1,10
Mean,747.34,575.584,754.539
Median,693,454,706
Minimum,406,202,428
Maximum,3440,9626,3333
Volatility,288.64,616.523,250.359
Skewness,3.49078,8.74549,2.85968
Kurtosis,24.7331,94.8456,20.1072
AC1,0.953865,0.971746,0.969867
B-,5,1,10
Mean,686.631,776.081,648.099
Median,634,660,615
Minimum,499,509,470
Maximum,979,1312,924
Volatility,136.464,247.47,112.605
Skewness,1.04882,1.1902,0.923105
Kurtosis,2.73679,2.80878,2.82864
AC1,0.820937,0.842723,0.835572
NR,5,1,10
Mean,99.4568,48.5152,117.973
Median,97,50,111
Minimum,64,15,86
Maximum,149,86,176
Volatility,19.607,16.7266,21.7862
Skewness,0.249789,-0.397519,0.561191
Kurtosis,2.3886,2.66672,2.14813
AC1,1.00096,1.00041,0.99978
A-,5,1,10
Mean,224.868,89.8737,249.923
Median,204,74,238
Minimum,70,8,91
Maximum,579,408,541
Volatility,121.248,69.4608,109.592
Skewness,0.937609,1.84471,0.768231
Kurtosis,3.17224,7.674,2.75193
AC1,0.91472,0.823118,0.865864
AA,5,1,10
Mean,114.206,74.3458,111.977
Median,92,88,91
Minimum,48,14,52
Maximum,291,205,321
Volatility,46.1944,37.3058,55.0676
Skewness,0.521635,0.03829,1.67573
Kurtosis,1.89867,1.53636,5.0917
AC1,0.689408,0.603222,0.704703
AA-,5,1,10
Mean,270.039,294.011,266.847
Median,241,325,238
Minimum,89,195,93
Maximum,543,382,529
Volatility,113.748,59.1663,109.04
Skewness,0.362228,-0.416423,0.393118
Kurtosis,1.83302,1.53215,1.87317
AC1,0.743385,0.809202,0.83733
D,5,1,10
Mean,1004.87,969.165,946.522
Median,987,933,924
Minimum,819,681,786
Maximum,1357,1418,1274
Volatility,127.525,184.675,112.943
Skewness,0.563555,0.344868,0.736594
Kurtosis,2.6191,2.14934,2.91513
AC1,0.363966,0.562021,0.56766
BBB+,5,1,10
Mean,156.045,59.8103,188.998
Median,146,51,185
Minimum,74,15,95
Maximum,358,214,376
Volatility,47.1509,32.5943,49.9902
Skewness,1.64582,1.66392,1.05232
Kurtosis,5.94325,6.88363,4.52625
AC1,0.739034,0.789103,0.757313
AA+,5,1,10
Mean,154.331,71.7046,156.849
Median,176,60,132
Minimum,34,19,37
Maximum,436,121,432
Volatility,92.4464,40.1981,98.2622
Skewness,0.500664,-0.0355653,0.639209
Kurtosis,2.7577,1.08349,2.24236
AC1,0.91621,0.87124,0.907952
AAA,5,1,10
Mean,67.6179,47.0312,85.5677
Median,57,47,77
Minimum,16,44,25
Maximum,267,52,258
Volatility,41.547,0.581348,43.8045
Skewness,1.60733,3.88831,1.48916
Kurtosis,5.64413,47.32,5.27569
AC1,0.092121,0.953721,0.945017
BBB-,5,1,10
Mean,248.502,131.67,271.337
Median,212,98,237
Minimum,74,11,108
Maximum,1216,651,1069
Volatility,166.449,97.3066,143.655
Skewness,2.4595,1.24738,1.788
Kurtosis,11.6063,4.26151,7.4075
AC1,0.915031,0.92425,0.931188
A,5,1,10
Mean,163.58,78.1869,178.512
Median,123,56,147
Minimum,59,20,75
Maximum,603,344,553
Volatility,107.626,72.0417,104.345
Skewness,1.89986,2.48013,1.718
Kurtosis,5.81262,8.17337,4.95286
AC1,0.799379,0.818228,0.818559
BB+,5,1,10
Mean,331.443,171.62,337.189
Median,273,129,289
Minimum,90,28,116
Maximum,1526,677,1040
Volatility,246.029,131.957,196.809
Skewness,2.18796,1.40876,1.79788
Kurtosis,7.83721,4.54081,6.2486
AC1,0.859403,0.901958,0.913225
A+,5,1,10
Mean,122.117,54.2289,140.435
Median,91,44,112
Minimum,50,11,57
Maximum,591,240,569
Volatility,92.1097,41.1456,85.5849
Skewness,2.96309,2.09715,2.6487
Kurtosis,12.0354,7.66061,10.234
AC1,0.9813,0.794323,0.817955
B+,5,1,10
Mean,682.732,496.775,673.038
Median,776,535,772
Minimum,129,22,180
Maximum,1508,1651,1400
Volatility,395.687,387.195,353.95
Skewness,-0.167242,0.348898,-0.208691
Kurtosis,1.58252,2.35023,1.5414
AC1,0.989908,0.988385,0.990652
BBB,5,1,10
Mean,175.204,84.7159,205.903
Median,149,58,185
Minimum,76,11,114
Maximum,640,368,575
Volatility,80.9312,70.6912,70.8353
Skewness,1.75319,1.63992,1.44919
Kurtosis,7.55192,4.81276,5.74153
AC1,0.828,0.84971,0.846535
