Group,1y,5y,10y,10y-5y,5y-1y,10y-1y#curves,#entities
(0-100),70.8007,35.8001,90.7119,54.9118,-35.0006,19.9112,13474,30
(100-200),151.518,69.8587,177.134,107.275,-81.6589,25.6164,12569,35
(200-300),262.759,167.097,284.849,117.753,-95.6624,22.0902,4422,20
(300-400),365.663,279.801,379.532,99.731,-85.8613,13.8698,1820,16
(400-500),470.451,351.601,479.033,127.432,-118.849,8.58264,1083,11
(500-600),582.993,430.349,592.982,162.633,-152.644,9.98873,887,9
(600-700),715.608,500.839,702.091,201.252,-214.769,-13.5175,429,6
(700-800),828.811,610.034,800.857,190.823,-218.777,-27.9533,428,5
(800-900),917.908,708.545,887.811,179.266,-209.363,-30.097,402,4
(900-1000),1031.78,825.684,958.311,132.627,-206.092,-73.4651,344,4
(1000-1100),1118.34,943.279,1027.67,84.3864,-175.064,-90.6778,329,4
(1100-1200),1228.93,1097.17,1096.97,-0.203582,-131.762,-131.966,88,3
(1200-1300),1312.26,1231.63,1186.79,-44.8409,-80.6242,-125.465,43,3
(1300-1400),1374.15,1401.15,1280.55,-120.6,27,-93.6,20,2
(1400-1500),1447.31,1532.5,1336.12,-196.375,85.1875,-111.188,16,2
(1500-1600),1475.25,1765.25,1366.5,-398.75,290,-108.75,4,2
(1600-1700),2553.03,5184.79,2218.26,-2966.53,2631.75,-334.775,173,1
