Group,1y,5y,10y,10y-5y,5y-1y,10y-1y#curves,#entities
(0-100),69.8304,18.9157,91.0755,72.1598,-50.9147,21.2451,13561,36
(100-200),151.173,59.8931,177.949,118.056,-91.2803,26.7758,12598,35
(200-300),261.609,134.134,286.936,152.802,-127.475,25.3268,4388,21
(300-400),362.718,199.747,384.295,184.548,-162.971,21.5765,1801,18
(400-500),468.071,195.942,480.149,284.208,-272.129,12.0787,1056,12
(500-600),579.482,331.284,596.046,264.762,-248.198,16.5639,875,9
(600-700),713.505,422.824,702.055,279.231,-290.681,-11.45,424,6
(700-800),830.918,543.048,800.286,257.237,-287.87,-30.6326,420,5
(800-900),918.368,665.048,887.772,222.724,-253.32,-30.5957,393,4
(900-1000),1031.58,641.046,958.663,317.617,-390.538,-72.9212,340,4
(1000-1100),1118.62,636.129,1028.03,391.898,-482.489,-90.5909,332,4
(1100-1200),1229.3,733.396,1096.15,362.756,-495.902,-133.146,87,3
(1200-1300),1312.82,1088.87,1187.29,98.424,-223.952,-125.528,43,3
(1300-1400),1374.6,1401.62,1281.11,-120.52,27.0273,-93.4922,20,2
(1400-1500),1447.84,1532.97,1336.68,-196.292,85.129,-111.163,16,2
(1500-1600),1475.62,1765.63,1367.05,-398.573,290.006,-108.567,4,2
(1600-1700),2553.5,5185.3,2218.8,-2966.5,2631.8,-334.703,173,1
